Date,Historical,Test_Actual,Test_Predicted,Forecasted
2007-Q2,34.11,,,
2007-Q3,29.18,,,
2007-Q4,21.35,,,
2008-Q1,11.45,,,
2008-Q2,5.78,,,
2008-Q3,5.70,,,
2008-Q4,6.46,,,
2009-Q1,4.61,,,
2009-Q2,3.04,,,
2009-Q3,3.08,,,
2009-Q4,3.75,,,
2010-Q1,6.12,,,
2010-Q2,7.50,,,
2010-Q3,8.82,,,
2010-Q4,10.02,,,
2011-Q1,9.04,,,
2011-Q2,8.36,,,
2011-Q3,5.78,,,
2011-Q4,5.00,,,
2012-Q1,6.99,,,
2012-Q2,10.14,,,
2012-Q3,10.79,,,
2012-Q4,11.65,,,
2013-Q1,13.97,,,
2013-Q2,15.95,,,
2013-Q3,16.69,,,
2013-Q4,21.78,,,
2014-Q1,32.09,,,
2014-Q2,36.77,,,
2014-Q3,37.15,,,
2014-Q4,40.79,,,
2015-Q1,48.17,,,
2015-Q2,43.35,,,
2015-Q3,39.12,,,
2015-Q4,41.38,,,
2016-Q1,38.53,,,
2016-Q2,32.44,,,
2016-Q3,34.02,,,
2016-Q4,42.05,,,
2017-Q1,43.78,,,
2017-Q2,45.08,,,
2017-Q3,47.00,,,
2017-Q4,48.51,,,
2018-Q1,52.27,,,
2018-Q2,43.10,,,
2018-Q3,38.31,,,
2018-Q4,34.21,,,
2019-Q1,33.11,,,
2019-Q2,31.92,,,
2019-Q3,29.02,,,
2019-Q4,28.37,,,
2020-Q1,22.75,,,
2020-Q2,12.13,,,
2020-Q3,12.53,,,
2020-Q4,13.86,,,
2021-Q1,19.29,,,
2021-Q2,22.62,,,
2021-Q3,20.27,,,
2021-Q4,19.18,,,
2022-Q1,17.00,,,
2022-Q2,16.65,,,
2022-Q3,13.94,,,
2022-Q4,13.56,13.56,13.64,
2023-Q1,15.59,15.59,15.63,
2023-Q2,14.66,14.66,14.65,
2023-Q3,15.52,15.52,15.65,
2023-Q4,12.56,12.56,12.64,
2024-Q1,14.51,14.51,14.43,
2024-Q2,13.14,13.14,13.16,
2024-Q3,10.58,10.58,10.74,
2024-Q4,,,,10.74
2025-Q1,,,,10.61
2025-Q2,,,,12.84
