Date,Historical,Test_Predicted,Forecasted
2016-Q3,122.41,,
2016-Q4,141.48,,
2017-Q1,152.95,,
2017-Q2,133.75,,
2017-Q3,118.16,,
2017-Q4,130.38,,
2018-Q1,153.19,,
2018-Q2,143.59,,
2018-Q3,124.52,,
2018-Q4,112.18,,
2019-Q1,120.24,,
2019-Q2,133.02,,
2019-Q3,139.66,,
2019-Q4,158.79,,
2020-Q1,138.29,,
2020-Q2,88.32,,
2020-Q3,116.64,,
2020-Q4,148.29,,
2021-Q1,214.66,,
2021-Q2,216.53,,
2021-Q3,185.43,,
2021-Q4,179.49,,
2022-Q1,162.96,,
2022-Q2,139.12,,
2022-Q3,99.90,,
2022-Q4,70.51,,
2023-Q1,86.90,82.69,
2023-Q2,101.11,99.67,
2023-Q3,99.59,98.07,
2023-Q4,70.57,78.00,
2024-Q1,74.75,67.21,
2024-Q2,55.68,60.59,
2024-Q3,45.07,42.40,
2024-Q4,,,47.61
2025-Q1,,,58.98
2025-Q2,,,60.46
2025-Q3,,,65.49
2025-Q4,,,59.75
