Date,Historical,Test_Predicted,Forecasted
1990-Q3,4.16,,
1990-Q4,3.67,,
1990-Q4,3.67,,
1991-Q1,4.9,,
1991-Q1,4.9,,
1991-Q2,5.07,,
1991-Q2,5.07,,
1991-Q3,5.05,,
1991-Q3,5.05,,
1991-Q4,4.45,,
1991-Q4,4.45,,
1992-Q1,4.8,,
1992-Q1,4.8,,
1992-Q2,4.27,,
1992-Q2,4.27,,
1992-Q3,4.04,,
1992-Q3,4.04,,
1992-Q4,3.66,,
1992-Q4,3.66,,
1993-Q1,3.8,,
1993-Q1,3.8,,
1993-Q2,3.68,,
1993-Q2,3.68,,
1993-Q3,2.94,,
1993-Q3,2.94,,
1993-Q4,3.38,,
1993-Q4,3.38,,
1994-Q1,3.72,,
1994-Q1,3.72,,
1994-Q2,3.46,,
1994-Q2,3.46,,
1994-Q3,3.69,,
1994-Q3,3.69,,
1994-Q4,3.55,,
1994-Q4,3.55,,
1995-Q1,3.36,,
1995-Q1,3.36,,
1995-Q2,3.72,,
1995-Q2,3.72,,
1995-Q3,4.16,,
1995-Q3,4.16,,
1995-Q4,3.66,,
1995-Q4,3.66,,
1996-Q1,4.71,,
1996-Q1,4.71,,
1996-Q2,6.22,,
1996-Q2,6.22,,
1996-Q3,5.12,,
1996-Q3,5.12,,
1996-Q4,5.07,,
1996-Q4,5.07,,
1997-Q1,5.28,,
1997-Q1,5.28,,
1997-Q2,5.57,,
1997-Q2,5.57,,
1997-Q3,6.4,,
1997-Q3,6.4,,
1997-Q4,7.88,,
1997-Q4,7.88,,
1998-Q1,11.43,,
1998-Q1,11.43,,
1998-Q2,11.74,,
1998-Q2,11.74,,
1998-Q3,10.16,,
1998-Q3,10.16,,
1998-Q4,8.12,,
1998-Q4,8.12,,
1999-Q1,11.24,,
1999-Q1,11.24,,
1999-Q2,9.8,,
1999-Q2,9.8,,
1999-Q3,9.68,,
1999-Q3,9.68,,
1999-Q4,8.53,,
1999-Q4,8.53,,
2000-Q1,6.78,,
2000-Q1,6.78,,
2000-Q2,6.64,,
2000-Q2,6.64,,
2000-Q3,5.97,,
2000-Q3,5.97,,
2000-Q4,5.79,,
2000-Q4,5.79,,
2001-Q1,6.65,,
2001-Q1,6.65,,
2001-Q2,6.19,,
2001-Q2,6.19,,
2001-Q3,6.59,,
2001-Q3,6.59,,
2001-Q4,5.84,,
2001-Q4,5.84,,
2002-Q1,6.98,,
2002-Q1,6.98,,
2002-Q2,6.47,,
2002-Q2,6.47,,
2002-Q3,5.11,,
2002-Q3,5.11,,
2002-Q4,4.62,,
2002-Q4,4.62,,
2003-Q1,4.36,,
2003-Q1,4.36,,
2003-Q2,4.18,,
2003-Q2,4.18,,
2003-Q3,5.72,,
2003-Q3,5.72,,
2003-Q4,6.35,,
2003-Q4,6.35,,
2004-Q1,5.91,,
2004-Q1,5.91,,
2004-Q2,5.1,,
2004-Q2,5.1,,
2004-Q3,4.99,,
2004-Q3,4.99,,
2004-Q4,6.47,,
2004-Q4,6.47,,
2005-Q1,6.64,,
2005-Q1,6.64,,
2005-Q2,6.55,,
2005-Q2,6.55,,
2005-Q3,7.3,,
2005-Q3,7.3,,
2005-Q4,7.48,,
2005-Q4,7.48,,
2006-Q1,7.26,,
2006-Q1,7.26,,
2006-Q2,8.47,,
2006-Q2,8.47,,
2006-Q3,8.36,,
2006-Q3,8.36,,
2006-Q4,9.16,,
2006-Q4,9.16,,
2007-Q1,9.25,,
2007-Q1,9.25,,
2007-Q2,6.92,,
2007-Q2,6.92,,
2007-Q3,5.64,,
2007-Q3,5.64,,
2007-Q4,5.6,,
2007-Q4,5.6,,
2008-Q1,5.3,,
2008-Q1,5.3,,
2008-Q2,4.38,,
2008-Q2,4.38,,
2008-Q3,4.28,,
2008-Q3,4.28,,
2008-Q4,5.34,,
2008-Q4,5.34,,
2009-Q1,5.3,,
2009-Q1,5.3,,
2009-Q2,3.93,,
2009-Q2,3.93,,
2009-Q3,5.29,,
2009-Q3,5.29,,
2009-Q4,6.69,,
2009-Q4,6.69,,
2010-Q1,8.23,,
2010-Q1,8.23,,
2010-Q2,10.22,,
2010-Q2,10.22,,
2010-Q3,10.95,,
2010-Q3,10.95,,
2010-Q4,12.03,,
2010-Q4,12.03,,
2011-Q1,13.7,,
2011-Q1,13.7,,
2011-Q2,14.66,,
2011-Q2,14.66,,
2011-Q3,13.34,,
2011-Q3,13.34,,
2011-Q4,15.1,,
2011-Q4,15.1,,
2012-Q1,16.32,,
2012-Q1,16.32,,
2012-Q2,15.45,,
2012-Q2,15.45,,
2012-Q3,15.69,,
2012-Q3,15.69,,
2012-Q4,18.24,,
2012-Q4,18.24,,
2013-Q1,23.15,,
2013-Q1,23.15,,
2013-Q2,26.5,,
2013-Q2,26.5,,
2013-Q3,26.91,,
2013-Q3,26.91,,
2013-Q4,32.1,,
2013-Q4,32.1,,
2014-Q1,37.56,,
2014-Q1,37.56,,
2014-Q2,43.26,,
2014-Q2,43.26,,
2014-Q3,42.26,,
