Date,Historical,Test_Predicted,Forecasted
2007-Q4,15.90,,
2008-Q1,12.41,,
2008-Q2,6.24,,
2008-Q3,6.75,,
2008-Q4,7.83,,
2009-Q1,6.37,,
2009-Q2,5.76,,
2009-Q3,6.29,,
2009-Q4,7.84,,
2010-Q1,11.19,,
2010-Q2,11.58,,
2010-Q3,9.89,,
2010-Q4,11.34,,
2011-Q1,9.85,,
2011-Q2,8.66,,
2011-Q3,6.83,,
2011-Q4,7.11,,
2012-Q1,8.51,,
2012-Q2,9.37,,
2012-Q3,8.32,,
2012-Q4,8.95,,
2013-Q1,12.76,,
2013-Q2,15.13,,
2013-Q3,18.21,,
2013-Q4,23.54,,
2014-Q1,28.23,,
2014-Q2,33.18,,
2014-Q3,33.68,,
2014-Q4,37.18,,
2015-Q1,41.04,,
2015-Q2,38.76,,
2015-Q3,39.93,,
2015-Q4,44.09,,
2016-Q1,41.77,,
2016-Q2,38.14,,
2016-Q3,34.10,,
2016-Q4,41.30,,
2017-Q1,44.37,,
2017-Q2,44.74,,
2017-Q3,45.72,,
2017-Q4,48.24,,
2018-Q1,51.23,,
2018-Q2,49.87,,
2018-Q3,51.88,,
2018-Q4,51.58,,
2019-Q1,47.22,,
2019-Q2,53.80,,
2019-Q3,57.25,,
2019-Q4,54.61,,
2020-Q1,48.48,,
2020-Q2,24.99,,
2020-Q3,28.32,,
2020-Q4,35.72,,
2021-Q1,43.45,,
2021-Q2,45.47,,
2021-Q3,40.10,,
2021-Q4,39.31,,
2022-Q1,38.24,38.63,
2022-Q2,37.44,37.76,
2022-Q3,31.19,32.88,
2022-Q4,32.55,32.43,
2023-Q1,36.43,35.01,
2023-Q2,36.23,36.87,
2023-Q3,42.72,39.62,
2023-Q4,35.78,37.90,
2024-Q1,40.85,38.57,
2024-Q2,49.28,44.53,
2024-Q3,43.29,45.06,
2024-Q4,,,40.09
2025-Q1,,,37.82
2025-Q2,,,38.96
2025-Q3,,,45.08
2025-Q4,,,44.93
