Date,Historical,Test_Actual,Test_Predicted,Forecasted
2005-Q1,12.90,,,
2005-Q2,13.95,,,
2005-Q3,13.05,,,
2005-Q4,12.87,,,
2006-Q1,11.86,,,
2006-Q2,10.62,,,
2006-Q3,10.56,,,
2006-Q4,12.72,,,
2007-Q1,13.36,,,
2007-Q2,10.83,,,
2007-Q3,10.07,,,
2007-Q4,7.85,,,
2008-Q1,5.57,,,
2008-Q2,4.58,,,
2008-Q3,5.12,,,
2008-Q4,5.23,,,
2009-Q1,5.19,,,
2009-Q2,4.77,,,
2009-Q3,5.38,,,
2009-Q4,5.50,,,
2010-Q1,5.36,,,
2010-Q2,6.05,,,
2010-Q3,5.99,,,
2010-Q4,6.80,,,
2011-Q1,6.13,,,
2011-Q2,5.88,,,
2011-Q3,4.64,,,
2011-Q4,4.44,,,
2012-Q1,5.42,,,
2012-Q2,4.85,,,
2012-Q3,5.18,,,
2012-Q4,5.28,,,
2013-Q1,6.23,,,
2013-Q2,6.54,,,
2013-Q3,6.46,,,
2013-Q4,7.94,,,
2014-Q1,8.77,,,
2014-Q2,9.24,,,
2014-Q3,11.42,,,
2014-Q4,12.97,,,
2015-Q1,17.02,,,
2015-Q2,20.25,,,
2015-Q3,23.57,,,
2015-Q4,24.91,,,
2016-Q1,21.03,,,
2016-Q2,18.58,,,
2016-Q3,17.09,,,
2016-Q4,19.75,,,
2017-Q1,20.39,,,
2017-Q2,21.98,,,
2017-Q3,20.96,,,
2017-Q4,20.43,,,
2018-Q1,21.26,,,
2018-Q2,19.25,,,
2018-Q3,18.96,,,
2018-Q4,17.43,,,
2019-Q1,17.12,,,
2019-Q2,17.88,,,
2019-Q3,18.14,,,
2019-Q4,18.58,,,
2020-Q1,16.58,,,
2020-Q2,9.85,,,
2020-Q3,11.22,,,
2020-Q4,13.72,,,
2021-Q1,17.33,17.33,19.72,
2021-Q2,19.37,19.37,18.86,
2021-Q3,15.34,15.34,15.31,
2021-Q4,14.70,14.70,14.16,
2022-Q1,14.48,14.48,12.02,
2022-Q2,10.69,10.69,8.71,
2022-Q3,8.14,8.14,8.43,
2022-Q4,7.31,7.31,7.60,
2023-Q1,7.90,7.90,8.41,
2023-Q2,7.27,7.27,9.55,
2023-Q3,6.58,6.58,8.42,
2023-Q4,4.69,4.69,6.47,
2024-Q1,6.21,6.21,6.30,
2024-Q2,6.03,6.03,6.49,
2024-Q3,5.63,5.63,7.39,
2024-Q4,null,null,null,7.02
2025-Q1,null,null,null,6.29
2025-Q2,null,null,null,6.24
2025-Q3,null,null,null,5.70
2025-Q4,null,null,null,5.19
