Date,Historical,Test_Actual,Test_Predicted,Forecasted
1991 Q1,1.33,,,
1991 Q2,1.43,,,
1991 Q3,1.42,,,
1991 Q4,1.61,,,
1992 Q1,2.08,,,
1992 Q2,2.33,,,
1992 Q3,2.51,,,
1992 Q4,2.95,,,
1993 Q1,3.69,,,
1993 Q2,4.48,,,
1993 Q3,5.64,,,
1993 Q4,5.77,,,
1994 Q1,6.03,,,
1994 Q2,4.84,,,
1994 Q3,4.45,,,
1994 Q4,3.47,,,
1995 Q1,3.06,,,
1995 Q2,3.72,,,
1995 Q3,4.53,,,
1995 Q4,3.96,,,
1996 Q1,4.68,,,
1996 Q2,4.95,,,
1996 Q3,4.11,,,
1996 Q4,3.94,,,
1997 Q1,3.89,,,
1997 Q2,4.34,,,
1997 Q3,4.94,,,
1997 Q4,5.93,,,
1998 Q1,7.19,,,
1998 Q2,7.17,,,
1998 Q3,7.82,,,
1998 Q4,8.07,,,
1999 Q1,11.12,,,
1999 Q2,12.37,,,
1999 Q3,10.37,,,
1999 Q4,9.49,,,
2000 Q1,9.91,,,
2000 Q2,11.83,,,
2000 Q3,13.11,,,
2000 Q4,16.77,,,
2001 Q1,16.89,,,
2001 Q2,15.74,,,
2001 Q3,15.44,,,
2001 Q4,15.05,,,
2002 Q1,16.69,,,
2002 Q2,15.08,,,
2002 Q3,11.75,,,
2002 Q4,12.73,,,
2003 Q1,11.55,,,
2003 Q2,13.84,,,
2003 Q3,15.06,,,
2003 Q4,15.4,,,
2004 Q1,12.67,,,
2004 Q2,13.11,,,
2004 Q3,12.57,,,
2004 Q4,13.34,,,
2005 Q1,12.62,,,
2005 Q2,12.68,,,
2005 Q3,12.15,,,
2005 Q4,13.97,,,
2006 Q1,14.68,,,
2006 Q2,14.23,,,
2006 Q3,14.82,,,
2006 Q4,13.72,,,
2007 Q1,13.36,,,
2007 Q2,12.77,,,
2007 Q3,13.43,,,
2007 Q4,12.05,,,
2008 Q1,10.64,,,
2008 Q2,11.5,,,
2008 Q3,13.13,,,
2008 Q4,8.81,,,
2009 Q1,6.03,,,
2009 Q2,6.07,,,
2009 Q3,7.29,,,
2009 Q4,8.43,,,
2010 Q1,10.65,,,
2010 Q2,11.09,,,
2010 Q3,10.27,,,
2010 Q4,11.65,,,
2011 Q1,10.88,,,
2011 Q2,10.24,,,
2011 Q3,8.03,,,
2011 Q4,7.3,,,
2012 Q1,7.86,,,
2012 Q2,7.48,,,
2012 Q3,8.01,,,
2012 Q4,8.27,,,
2013 Q1,10.35,,,
2013 Q2,12.05,,,
2013 Q3,12.08,,,
2013 Q4,15.5,,,
2014 Q1,19.49,,,
2014 Q2,22.5,,,
2014 Q3,27.33,,,
2014 Q4,33.45,,,
2015 Q1,39.21,,,
2015 Q2,35.15,,,
2015 Q3,33.25,,,
2015 Q4,39.95,,,
2016 Q1,36.78,,,
2016 Q2,38.75,,,
2016 Q3,34.52,,,
2016 Q4,40.8,,,
2017 Q1,49.04,,,
2017 Q2,53.15,,,
2017 Q3,51.39,,,
2017 Q4,53.96,,,
2018 Q1,55.21,,,
2018 Q2,48.53,,,
2018 Q3,54.09,,,
2018 Q4,49.23,,,
2019 Q1,49.05,,,
2019 Q2,48.32,,,
2019 Q3,49,,,
2019 Q4,52.08,,,
2020 Q1,46.72,,,
2020 Q2,30.03,,,
2020 Q3,33.58,,,
2020 Q4,40.95,,,
2021 Q1,50.29,,,
2021 Q2,56.64,,,
2021 Q3,47.74,,,
2021 Q4,44.37,,,
2022 Q1,41.54,,,
2022 Q2,40.63,,,
2022 Q3,35.4,,,
2022 Q4,34.08,,,
2023 Q1,32.35,,,
2023 Q2,31.11,29.97,,
2023 Q3,31.06,31.37,,
2023 Q4,26.61,25.13,,
2024 Q1,33.6,30.12,,
2024 Q2,26.74,27.27,,
2024 Q3,26.73,27.26,,
2024 Q4,,,,29.69
2025 Q1,,,,28.79
2025 Q2,,,,33.11
2025 Q3,,,,33.71
