DateTime,Actual,MedianForecast
1/2/25 9:30,17.38,17.3
1/2/25 10:30,17.17,17.26
1/2/25 11:30,17.01,17.16
1/2/25 12:30,16.93,16.93
1/2/25 13:30,16.98,16.89
1/2/25 14:30,17.02,16.91
1/2/25 15:30,17,16.92
1/3/25 9:30,16.56,16.95
1/3/25 10:30,16.74,17.06
1/3/25 11:30,16.81,17.08
1/3/25 12:30,17.01,17.12
1/3/25 13:30,16.97,17.11
1/3/25 14:30,16.91,17.08
1/3/25 15:30,16.98,17.08
1/6/25 9:30,17.75,17.26
1/6/25 10:30,17.74,17.31
1/6/25 11:30,17.75,17.43
1/6/25 12:30,17.89,17.63
1/6/25 13:30,17.77,17.67
1/6/25 14:30,17.65,17.7
1/6/25 15:30,17.52,17.67
