DateTime,Actual,MedianForecast
1/2/25 9:30,93.94,93.62
1/2/25 10:30,93.29,91.45
1/2/25 11:30,93.73,91.79
1/2/25 12:30,92.29,91.15
1/2/25 13:30,92.85,91.03
1/2/25 14:30,92.26,91.19
1/2/25 15:30,92.06,90.66
1/3/25 9:30,90.39,92.51
1/3/25 10:30,91.00,91.34
1/3/25 11:30,91.41,91.87
1/3/25 12:30,91.52,91.53
1/3/25 13:30,91.82,90.71
1/3/25 14:30,92.63,89.97
1/3/25 15:30,93.84,90.03
1/6/25 9:30,98.21,95.78
1/6/25 10:30,97.00,95.46
1/6/25 11:30,96.95,96.44
1/6/25 12:30,97.83,96.77
1/6/25 13:30,97.52,96.92
1/6/25 14:30,97.79,96.63
1/6/25 15:30,98.28,96.83
