DateTime,Actual,MedianForecast
1/2/25 9:30,59.54,59.55
1/2/25 10:30,59.58,59.57
1/2/25 11:30,59.17,59.47
1/2/25 12:30,58.95,59.22
1/2/25 13:30,58.99,58.97
1/2/25 14:30,59.18,59.05
1/2/25 15:30,59.07,59.29
1/3/25 9:30,57.69,58.78
1/3/25 10:30,57.97,58.07
1/3/25 11:30,58.23,57.76
1/3/25 12:30,58.61,58.23
1/3/25 13:30,58.68,58.50
1/3/25 14:30,58.86,58.73
1/3/25 15:30,59.00,58.75
1/6/25 9:30,60.21,59.23
1/6/25 10:30,60.48,59.89
1/6/25 11:30,60.60,60.48
1/6/25 12:30,60.49,60.54
1/6/25 13:30,60.08,60.39
1/6/25 14:30,59.75,60.11
1/6/25 15:30,60.04,59.64
