DateTime,Actual,MedianForecast
1/2/25 9:30,7.72,7.80
1/2/25 10:30,7.68,7.76
1/2/25 11:30,7.59,7.70
1/2/25 12:30,7.57,7.64
1/2/25 13:30,7.56,7.60
1/2/25 14:30,7.53,7.56
1/2/25 15:30,7.49,7.58
1/3/25 9:30,7.30,7.48
1/3/25 10:30,7.39,7.38
1/3/25 11:30,7.38,7.28
1/3/25 12:30,7.43,7.32
1/3/25 13:30,7.47,7.47
1/3/25 14:30,7.49,7.51
1/3/25 15:30,7.51,7.51
1/6/25 9:30,7.68,7.62
1/6/25 10:30,7.68,7.58
1/6/25 11:30,7.74,7.63
1/6/25 12:30,7.85,7.70
1/6/25 13:30,7.80,7.72
1/6/25 14:30,7.75,7.76
1/6/25 15:30,7.69,7.72
