DateTime,Actual,MedianForecast
1/2/25 9:30,96.63,97.61
1/2/25 10:30,96.58,97.61
1/2/25 11:30,95.75,97.63
1/2/25 12:30,95.08,97.65
1/2/25 13:30,95.33,97.66
1/2/25 14:30,95.36,97.76
1/2/25 15:30,95.43,97.92
1/3/25 9:30,93.81,98.05
1/3/25 10:30,94.15,98.06
1/3/25 11:30,94.48,98.08
1/3/25 12:30,95.26,98.09
1/3/25 13:30,95.05,98.11
1/3/25 14:30,95.17,98.15
1/3/25 15:30,95.67,98.17
1/6/25 9:30,98.96,98.12
1/6/25 10:30,99.82,97.92
1/6/25 11:30,100.98,97.61
1/6/25 12:30,100.24,97.27
1/6/25 13:30,99.29,96.99
1/6/25 14:30,98.83,96.96
1/6/25 15:30,98.57,97.12
