Year,Year_Start_Date,Adj Close
2005,2005-01-01,23.513430035
2006,2006-01-01,41.7445619375
2007,2007-01-01,33.812956937500005
2008,2008-01-01,7.3475244672499995
2009,2009-01-01,3.6198850735
2010,2010-01-01,8.115959247
2011,2011-01-01,7.0456456877499996
2012,2012-01-01,9.890569598499999
2013,2013-01-01,17.096916035
2014,2014-01-01,36.7010217225
2015,2015-01-01,43.00303726
2016,2016-01-01,36.75822564
2017,2017-01-01,46.091770695
2018,2018-01-01,41.9759797125
2019,2019-01-01,30.6070705
2020,2020-01-01,15.317751422499999
2021,2021-01-01,20.3397472875
2022,2022-01-01,15.2875378125
2023,2023-01-01,14.5823073475
2024,2024-01-01,12.74220434
