Year,Year_Start_Date,Adj Close
2007,2007-01-01,16.256580546666665
2008,2008-01-01,8.30798561975
2009,2009-01-01,6.5659162344999995
2010,2010-01-01,10.999142795000001
2011,2011-01-01,8.1125183955
2012,2012-01-01,8.78850332475
2013,2013-01-01,17.4116490525
2014,2014-01-01,33.069420789999995
2015,2015-01-01,40.95527479
2016,2016-01-01,38.8262675575
2017,2017-01-01,45.769450535
2018,2018-01-01,51.13876897
2019,2019-01-01,53.2216123225
2020,2020-01-01,34.375603775
2021,2021-01-01,42.08122167
2022,2022-01-01,34.85680172
2023,2023-01-01,37.78955933
2024,2024-01-01,44.47411104666667
