Year,Year_Start_Date,Adj Close
2005,2005-01-01,13.1929980925
2006,2006-01-01,11.4381317175
2007,2007-01-01,10.5274119195
2008,2008-01-01,5.125014097499999
2009,2009-01-01,5.2099296514999995
2010,2010-01-01,6.05048740175
2011,2011-01-01,5.2713140795
2012,2012-01-01,5.18390553125
2013,2013-01-01,6.79333072475
2014,2014-01-01,10.599263018
2015,2015-01-01,21.43678714
2016,2016-01-01,19.1158959375
2017,2017-01-01,20.9415137375
2018,2018-01-01,19.223983555
2019,2019-01-01,17.93115485
2020,2020-01-01,12.843098589499998
2021,2021-01-01,16.6867348125
2022,2022-01-01,10.15520750875
2023,2023-01-01,6.60620008225
2024,2024-01-01,5.955290869666666
