Year,Year_Start_Date,Adj Close
1991,1991-01-01,1.44737717775
1992,1992-01-01,2.46745520225
1993,1993-01-01,4.8945534442500005
1994,1994-01-01,4.7000691222499995
1995,1995-01-01,3.817285427
1996,1996-01-01,4.4183985465
1997,1997-01-01,4.77374470875
1998,1998-01-01,7.56233655025
1999,1999-01-01,10.83605043475
2000,2000-01-01,12.904920873
2001,2001-01-01,15.7793162525
2002,2002-01-01,14.06517154
2003,2003-01-01,13.9622594575
2004,2004-01-01,12.92188394
2005,2005-01-01,12.855814259999999
2006,2006-01-01,14.3653735025
2007,2007-01-01,12.90597642
2008,2008-01-01,11.021268655250001
2009,2009-01-01,6.9548425832500005
2010,2010-01-01,10.915822137500001
2011,2011-01-01,9.113568653
2012,2012-01-01,7.9054959195
2013,2013-01-01,12.4955446275
2014,2014-01-01,25.6949024325
2015,2015-01-01,36.891754185
2016,2016-01-01,37.7130480725
2017,2017-01-01,51.886102585
2018,2018-01-01,51.7650984175
2019,2019-01-01,49.610345190000004
2020,2020-01-01,37.81906347
2021,2021-01-01,49.7581698625
2022,2022-01-01,37.912408725
2023,2023-01-01,29.7073225275
2024,2024-01-01,28.219023393333334
